订单号,商品id,商品编码,下单时间,商品名称,数量,支付价格,成本价,采购成本价
2023083193163,6971973442200,6971973442200,2023-08-31 23:00:55,禧遇棉花糖,1,2.5,1.54,
2023083141300,221055484,221055484,2023-08-31 22:59:39,好丽友薯愿小包装,1,4.3,2.25,
2023083141300,6972946670095,6972946670095,2023-08-31 22:59:39,徐多谷北海道豆制品40g,1,1.2,0.70,
2023083141300,6958621301096,6958621301096,2023-08-31 22:59:39,真之味鸡蛋干,2,2.4,1.42,
2023083141300,6948004703494,6948004703494,2023-08-31 22:59:39,鲜引力甘栗仁小包装,1,5.5,3.70,
2023083135541,6922255451427,6922255451427,2023-08-31 22:33:18,百岁山矿泉水570ml,2,3.98,3.30,
2023083135541,6920698460068,6920698460068,2023-08-31 22:33:18,康师傅经典红烧牛肉面（袋装）,2,5.8,4.64,
2023083135541,6927462217279,6927462217279,2023-08-31 22:33:18,金锣健食力低脂香肠80g,1,3.5,2.50,
2023083158081,6954767412573,6954767412573,2023-08-31 22:29:45,可乐500ml,1,2.2,2.00,
2023083158081,6907992103952,6907992103952,2023-08-31 22:29:45,伊利纯牛奶优选牧场180ml,1,3,2.60,
2023083110231,220008069,220008069,2023-08-31 22:20:35,照烧脆骨丸 80g,1,5.5,3.20,
2023083157842,221055448,221055448,2023-08-31 22:19:46,众望小麻花,2,1.4,0.80,
2023083157842,221055425,221055425,2023-08-31 22:19:46,趣味多啵啵麻薯,1,1.6,0.96,
2023083142396,6921895905109,6921895905109,2023-08-31 22:19:19,中街大果系列,1,2,1.40,
2023083152429,6970399923096,6970399923096,2023-08-31 22:18:58,元气森林苏打气泡水480ml,1,3.99,3.15,
2023083143651,6922255447833,6922255447833,2023-08-31 22:18:46,百岁山矿泉水348ml,1,1.7,1.20,
2023083180487,6954767442075,6954767442075,2023-08-31 22:17:21,芬达500ml,1,2.2,2.13,
2023083170877,6921168509256,6921168509256,2023-08-31 22:16:33,农夫山泉矿泉水550ml,1,1.2,0.90,
2023083108215,6973559790064,6973559790064,2023-08-31 22:14:48,乐知橙双柚汁310ml,1,6,3.75,
2023083157078,6937451833267,6937451833267,2023-08-31 22:12:18,不二家棒棒糖,1,0.7,0.42,
2023083177852,6921956637826,6921956637826,2023-08-31 22:10:02,亨氏番茄沙司320g,1,8.9,6.25,
2023083177852,6970717330315,6970717330315,2023-08-31 22:10:02,桃李醇熟切片面包,1,8.5,7.00,
2023083177852,6901285991271,6901285991271,2023-08-31 22:10:02,怡宝1.555L,1,2.5,2.17,
2023083104945,6970717330124,6970717330124,2023-08-31 22:04:56,桃李鸡蛋香松面包,1,4.5,3.60,
2023083195537,221055444,221055444,2023-08-31 22:04:25,三明治,1,9.4,5.00,
2023083195537,6922711403946,6922711403946,2023-08-31 22:04:25,优形沙拉鸡胸肉100g,2,18.08,13.20,
2023083109511,6937439915251,6937439915251,2023-08-31 21:57:20,脆升升香脆薯条袋装100g,1,11.9,7.59,
2023083109511,6937439914988,6937439914988,2023-08-31 21:57:20,脆升升香脆薯条袋装100g,1,11.9,7.59,
2023083190799,6971558610017,6971558610017,2023-08-31 21:56:51,李子柒螺蛳粉,1,11.9,8.00,
2023083190799,6975174590210,6975174590210,2023-08-31 21:56:51,刁明袋装即食系列,1,10.3,6.40,
2023083190799,6901668936318,6901668936318,2023-08-31 21:56:51,奥利奥可可脆卷50g,1,5.8,4.20,
2023083190799,8858702431606,8858702431606,2023-08-31 21:56:51,泰国小老板香脆海苔卷,1,13.9,10.50,
2023083190799,6970583880389,6970583880389,2023-08-31 21:56:51,心食代辣条扛把子,1,1.2,0.65,
2023083190799,6906839618604,6906839618604,2023-08-31 21:56:51,旺旺维多粒果冻爽,1,2.59,1.66,
2023083190799,6958395800535,6958395800535,2023-08-31 21:56:51,林仔豆角干36g,2,1.98,1.26,
